epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
108,690.648,0.29162,0.3394,0.98331,0.00359,0.6316,0.85261,0.72208,0.69516,0.27859,1.40499,0.90117,0.01252,0.000587938,0.000587938,0.000587938
109,696.675,0.299,0.3435,0.96668,0.00351,0.65634,0.76107,0.72798,0.7013,0.26788,1.43552,0.89636,0.01261,0.00058175,0.00058175,0.00058175
110,702.6,0.30681,0.35319,0.98838,0.00353,0.68653,0.70278,0.67474,0.65537,0.27219,1.44739,0.89795,0.00875,0.000575563,0.000575563,0.000575563
111,708.715,0.33053,0.39169,1.00585,0.00455,0.61185,0.75307,0.68046,0.66287,0.26819,1.41972,0.89701,0.00873,0.000569375,0.000569375,0.000569375
112,714.828,0.30417,0.3484,0.98071,0.0032,0.68832,0.75554,0.71102,0.68793,0.26475,1.35686,0.88448,0.00894,0.000563187,0.000563187,0.000563187
113,720.922,0.28799,0.32699,0.97004,0.00305,0.712,0.8112,0.76458,0.74689,0.2656,1.30413,0.88873,0.01074,0.000557,0.000557,0.000557
114,726.966,0.30361,0.35656,0.98706,0.00364,0.67778,0.78437,0.72337,0.71069,0.26267,1.34779,0.88953,0.0101,0.000550813,0.000550813,0.000550813
115,733.065,0.30381,0.34041,0.97685,0.00367,0.67262,0.81191,0.73583,0.70706,0.28319,1.45676,0.90617,0.01377,0.000544625,0.000544625,0.000544625
116,739.17,0.30771,0.34209,0.99407,0.003,0.62284,0.75981,0.6856,0.66076,0.28842,1.52958,0.90995,0.0151,0.000538438,0.000538438,0.000538438
117,745.27,0.29576,0.33513,0.9614,0.00382,0.66613,0.7803,0.69606,0.67698,0.28137,1.52458,0.90236,0.01331,0.00053225,0.00053225,0.00053225
118,751.454,0.28483,0.3332,0.9644,0.00313,0.64285,0.7818,0.68463,0.6641,0.28506,1.49808,0.89758,0.00974,0.000526063,0.000526063,0.000526063
119,757.532,0.28462,0.31568,0.95617,0.00344,0.61765,0.83157,0.68685,0.66345,0.28839,1.5718,0.91227,0.0154,0.000519875,0.000519875,0.000519875
120,763.558,0.29859,0.32559,0.97484,0.00375,0.66253,0.78068,0.70949,0.68655,0.30108,1.48545,0.9096,0.01848,0.000513688,0.000513688,0.000513688
121,769.648,0.29763,0.33326,0.97265,0.00293,0.70559,0.73966,0.7032,0.67808,0.29243,1.43824,0.91554,0.01765,0.0005075,0.0005075,0.0005075
122,775.622,0.2933,0.34237,0.97308,0.00351,0.62984,0.78316,0.673,0.65114,0.29115,1.58629,0.90634,0.01479,0.000501313,0.000501313,0.000501313
123,781.587,0.2941,0.3259,0.97204,0.00369,0.66411,0.754,0.70379,0.67945,0.2606,1.44728,0.88707,0.00913,0.000495125,0.000495125,0.000495125
124,787.664,0.28454,0.30729,0.96451,0.00317,0.6639,0.76282,0.71999,0.69325,0.27768,1.46017,0.90104,0.01708,0.000488938,0.000488938,0.000488938
125,793.861,0.2849,0.31702,0.95764,0.00331,0.63678,0.79394,0.70146,0.67878,0.2847,1.58671,0.91351,0.0162,0.00048275,0.00048275,0.00048275
126,800.046,0.29013,0.32032,0.97418,0.00316,0.64321,0.77855,0.70812,0.68428,0.28545,1.58253,0.89826,0.015,0.000476562,0.000476562,0.000476562
127,806.108,0.3001,0.33091,0.97782,0.00385,0.65363,0.85296,0.71062,0.6868,0.26326,1.58797,0.89098,0.01285,0.000470375,0.000470375,0.000470375
128,812.018,0.2943,0.32546,0.97191,0.00309,0.68884,0.74114,0.72054,0.69471,0.28679,1.47931,0.91023,0.01582,0.000464188,0.000464188,0.000464188
129,818.023,0.28516,0.31312,0.97105,0.00327,0.66713,0.79229,0.72811,0.70423,0.27525,1.38078,0.9107,0.01664,0.000458,0.000458,0.000458
130,824.198,0.27525,0.29887,0.94471,0.00271,0.6633,0.83011,0.72577,0.70626,0.27735,1.50585,0.89846,0.01783,0.000451813,0.000451813,0.000451813
131,830.151,0.27196,0.29348,0.95006,0.00266,0.71958,0.76076,0.72561,0.7019,0.26755,1.65565,0.89391,0.01336,0.000445625,0.000445625,0.000445625
132,836.136,0.28629,0.31506,0.95873,0.00358,0.6736,0.7948,0.73731,0.71198,0.27418,1.56251,0.88958,0.01202,0.000439437,0.000439437,0.000439437
133,842.271,0.28435,0.31631,0.95918,0.00319,0.66988,0.77291,0.71531,0.69073,0.29806,1.51346,0.90913,0.01789,0.00043325,0.00043325,0.00043325
134,848.362,0.27985,0.30254,0.96497,0.00285,0.68147,0.78933,0.72505,0.69961,0.29028,1.47519,0.90596,0.01444,0.000427062,0.000427062,0.000427062
135,854.394,0.28662,0.30691,0.96389,0.00313,0.60262,0.8765,0.73781,0.71609,0.27343,1.39333,0.88973,0.01599,0.000420875,0.000420875,0.000420875
136,860.623,0.27703,0.29459,0.95777,0.0031,0.64641,0.81416,0.71663,0.69816,0.26276,1.4319,0.88152,0.00911,0.000414688,0.000414688,0.000414688
137,866.71,0.27729,0.30191,0.94977,0.00239,0.64783,0.76512,0.69929,0.68415,0.28163,1.52032,0.89543,0.01359,0.0004085,0.0004085,0.0004085
138,872.932,0.27216,0.29581,0.95718,0.00254,0.6663,0.73697,0.71072,0.68927,0.26553,1.5596,0.88661,0.01003,0.000402312,0.000402312,0.000402312
139,879.029,0.27569,0.30404,0.95371,0.00309,0.71882,0.7607,0.71508,0.69507,0.27913,1.51062,0.89822,0.00962,0.000396125,0.000396125,0.000396125
140,885.243,0.28161,0.30623,0.97092,0.00277,0.65411,0.73445,0.6879,0.66643,0.28392,1.48647,0.90097,0.01458,0.000389938,0.000389938,0.000389938
141,891.342,0.28282,0.31111,0.96676,0.0027,0.6507,0.73224,0.67792,0.65688,0.28637,1.45937,0.90305,0.01416,0.00038375,0.00038375,0.00038375
142,897.347,0.27405,0.30205,0.94771,0.00272,0.63525,0.74534,0.67976,0.66248,0.28355,1.69897,0.90601,0.01454,0.000377563,0.000377563,0.000377563
143,903.372,0.27849,0.3006,0.95391,0.00296,0.62879,0.7513,0.70535,0.68514,0.28726,1.52651,0.90272,0.01642,0.000371375,0.000371375,0.000371375
144,909.44,0.27841,0.30167,0.96135,0.00252,0.66401,0.7467,0.71831,0.69755,0.27976,1.46101,0.89767,0.0134,0.000365188,0.000365188,0.000365188
145,915.464,0.28871,0.30075,0.96409,0.00351,0.69058,0.72855,0.70866,0.69223,0.27288,1.40255,0.88992,0.01238,0.000359,0.000359,0.000359
146,921.519,0.26843,0.28022,0.94654,0.00273,0.7215,0.73215,0.70283,0.68567,0.27702,1.44808,0.88636,0.01048,0.000352812,0.000352812,0.000352812
147,927.532,0.27521,0.29179,0.96176,0.00315,0.70608,0.70249,0.71297,0.69779,0.25945,1.49413,0.8846,0.00932,0.000346625,0.000346625,0.000346625
148,933.651,0.26663,0.2775,0.95238,0.00279,0.69375,0.70684,0.71653,0.70046,0.26338,1.52098,0.88775,0.01085,0.000340438,0.000340438,0.000340438
149,939.711,0.27117,0.28396,0.95244,0.00234,0.712,0.72828,0.72967,0.71439,0.27019,1.43198,0.89166,0.00938,0.00033425,0.00033425,0.00033425
150,945.834,0.28174,0.30546,0.96948,0.00273,0.7254,0.72041,0.7177,0.70029,0.28245,1.48762,0.89938,0.01493,0.000328063,0.000328063,0.000328063
151,951.907,0.27368,0.28946,0.95213,0.00327,0.6768,0.74735,0.72501,0.70709,0.27745,1.56567,0.89626,0.01481,0.000321875,0.000321875,0.000321875
152,957.931,0.26431,0.28159,0.95242,0.00249,0.72004,0.7219,0.73399,0.71622,0.26504,1.37409,0.88502,0.01084,0.000315687,0.000315687,0.000315687
153,964.116,0.27947,0.29778,0.96747,0.0031,0.64585,0.80893,0.71624,0.69726,0.26322,1.52115,0.88077,0.01048,0.0003095,0.0003095,0.0003095
154,970.097,0.26388,0.28035,0.95046,0.00275,0.63072,0.8211,0.7145,0.69483,0.27543,1.4247,0.89771,0.01303,0.000303313,0.000303313,0.000303313
155,976.131,0.25579,0.27684,0.93964,0.00287,0.65454,0.80325,0.72901,0.70141,0.28127,1.45071,0.90569,0.01382,0.000297125,0.000297125,0.000297125
156,982.289,0.26251,0.28013,0.95196,0.00238,0.73188,0.75482,0.74151,0.71866,0.29059,1.39623,0.90101,0.01618,0.000290937,0.000290937,0.000290937
157,988.24,0.25991,0.28773,0.93906,0.0024,0.63607,0.83,0.73417,0.71385,0.25977,1.39668,0.88692,0.01016,0.00028475,0.00028475,0.00028475
158,994.209,0.2693,0.28855,0.95128,0.00212,0.69151,0.7959,0.74242,0.72179,0.26575,1.5421,0.88957,0.01044,0.000278562,0.000278562,0.000278562
159,1000.14,0.26422,0.28447,0.95187,0.00258,0.66258,0.80636,0.74104,0.72312,0.27122,1.49344,0.89203,0.01503,0.000272375,0.000272375,0.000272375
160,1006.32,0.26597,0.28364,0.94749,0.00216,0.66255,0.75005,0.71283,0.69345,0.27218,1.45523,0.89047,0.01463,0.000266187,0.000266187,0.000266187
